park,state,pdf_url
"American Samoa National Park","AS","https://www.nps.gov/npsa/planyourvisit/upload/Area_Map.pdf"
"Big Bend National Park","TX","https://www.nps.gov/bibe/planyourvisit/upload/2023-Wild-and-Scenic-Rivers-Brochure.pdf"
"Black Canyon of the Gunnison National Park","CO","https://www.nps.gov/blca/planyourvisit/upload/Black_Canyon_unigrid_2023_508_web.pdf"
"Black Canyon of the Gunnison National Park","CO","https://www.nps.gov/blca/planyourvisit/upload/blca_innercanyon.pdf"
"Canyonlands National Park","UT","https://www.nps.gov/cany/planyourvisit/upload/IslandRoadsandTrailsUpdated24-508forweb.pdf"
"Canyonlands National Park","UT","https://www.nps.gov/cany/planyourvisit/upload/NeedlesTrailsandRoads2024_with-Davis-Road-Setback-1.pdf"
"Canyonlands National Park","UT","https://www.nps.gov/cany/planyourvisit/upload/ISKY-Backcountry-Zone-Map-Final-508.pdf"
"Canyonlands National Park","UT","https://www.nps.gov/cany/planyourvisit/upload/Need-Backcountry-Zone-Map-final-508.pdf"
"Carlsbad Caverns National Park","NM","https://www.nps.gov/cave/learn/news/upload/Interesting-Facts.pdf"
"Channel Islands National Park","CA","https://www.nps.gov/chis/planyourvisit/upload/Santa-Rosa-Hiking-Map-and-Guide-October-2023v2-ADA.pdf"
"Death Valley National Park","CA;NV","https://www.nps.gov/deva/planyourvisit/upload/508-Backcountry-and-Wilderness-Access-map_.pdf"
"Denali National Park and Preserve","AK","https://www.nps.gov/dena/planyourvisit/upload/trail-map-letter-size.pdf"
"Dry Tortugas National Park","FL","http://www.charts.noaa.gov/BookletChart/11438_BookletChart.pdf"
"Gates of the Arctic National Park and Preserve","AK","https://www.nps.gov/carto/hfc/carto/media/gaarmap1.pdf"
"Glacier Bay National Park and Preserve","AK","https://www.nps.gov/glba/planyourvisit/upload/GLBA-Compendium-Bartlett-Cove-Docking-Map-2024-508c.pdf"
"Glacier Bay National Park and Preserve","AK","https://www.nps.gov/glba/planyourvisit/upload/GLBA-Bartlett-Cove-Campground-Area-Map-2024-8-5x11.pdf"
"Glacier Bay National Park and Preserve","AK","https://www.nps.gov/glba/planyourvisit/upload/GLBA-Bartlett-Cove-Campground-Map-508c-web.pdf"
"Grand Canyon National Park","AZ","https://www.nps.gov/grca/planyourvisit/upload/GRCAmap2.pdf"
"Grand Canyon National Park","AZ","https://www.nps.gov/grca/learn/news/upload/sr-pocket-map.pdf"
"Grand Canyon National Park","AZ","https://www.nps.gov/grca/planyourvisit/upload/intro-bc-hike.pdf"
"Grand Canyon National Park","AZ","https://www.nps.gov/grca/learn/news/upload/nr-pocket-map.pdf"
"Great Smoky Mountains National Park","TN;NC","https://www.nps.gov/grsm/planyourvisit/upload/grsmmap_2024_reduced_508.pdf"
"Great Smoky Mountains National Park","TN;NC","https://www.nps.gov/grsm/planyourvisit/upload/GSMNP-Trail-Map_508-2.pdf"
"Great Smoky Mountains National Park","TN;NC","https://www.nps.gov/grsm/planyourvisit/upload/GRSMmap2.pdf"
"Katmai National Park and Preserve","AK","https://www.nps.gov/katm/planyourvisit/upload/Geographic_Harbor_Special_Designated_Area_Map.pdf"
"Katmai National Park and Preserve","AK","https://www.nps.gov/katm/planyourvisit/upload/Hallo_Bay_Closure_Map.pdf"
"Katmai National Park and Preserve","AK","https://www.nps.gov/katm/planyourvisit/upload/Moraine_Funnel_Camping_Closure_Map.pdf"
"Kings Canyon National Park","CA","https://www.nps.gov/seki/planyourvisit/upload/2021_Campground_map_Buckeye-508.pdf"
"Kings Canyon National Park","CA","https://www.nps.gov/seki/planyourvisit/upload/2021_Campground_map_Cold_Springs-508.pdf"
"Kings Canyon National Park","CA","https://www.nps.gov/seki/planyourvisit/upload/DorstCreekCampground_20130607_ewilliams.pdf"
"Kings Canyon National Park","CA","https://www.nps.gov/seki/planyourvisit/upload/2021_Campground_map_Crystal_Springs-508.pdf"
"Kings Canyon National Park","CA","https://www.nps.gov/seki/planyourvisit/upload/2021_Campground_map_Sentinel-508.pdf"
"Mount Rainier National Park","WA","https://www.nps.gov/mora/planyourvisit/upload/2016-Longmire_Cougar-Rock-Area-Trails_access.pdf"
"Mount Rainier National Park","WA","https://www.nps.gov/mora/planyourvisit/upload/2019-Paradise-Area-Trails_508.pdf"
"Mount Rainier National Park","WA","https://www.nps.gov/mora/planyourvisit/upload/Ohanapecosh-Area-Trails_Closures_April2025_508.pdf"
"Mount Rainier National Park","WA","https://www.nps.gov/mora/planyourvisit/upload/2020-Sunrise-Area-Trails_access.pdf"
"Mount Rainier National Park","WA","https://www.nps.gov/mora/planyourvisit/upload/2020-Carbon-River_Mowich-Area-Trails_508.pdf"
"Mount Rainier National Park","WA","https://www.nps.gov/mora/planyourvisit/upload/Camp-Muir-Route-with-Get-Your-Bearings-map-Jan18.pdf"
"Mount Rainier National Park","WA","https://www.nps.gov/mora/planyourvisit/upload/Wilderness-Trip-Planner-2022-wMap-FINAL_508.pdf"
"New River Gorge National Park and Preserve","WV","https://www.nps.gov/neri/planyourvisit/upload/New-River-Guide_Accessible_1.pdf"
"North Cascades National Park","WA","https://www.nps.gov/noca/planyourvisit/upload/Ross_Lake_Trip_Planner_for_Website_508.pdf"
"Pinnacles National Park","CA","https://www.nps.gov/pinn/planyourvisit/upload/2019-map-update-DRAFT-2.pdf"
"Pinnacles National Park","CA","https://www.nps.gov/pinn/planyourvisit/upload/2019-map-update-DRAFT-CROPPED2.pdf"
"Redwood National and State Parks","CA","https://www.parks.ca.gov/pages/413/files/JedediahSmithRedwoodsSP_CampMap2019.pdf"
"Redwood National and State Parks","CA","https://www.parks.ca.gov/pages/414/files/DelNorteRedwoodsSP_CampMap2019.pdf"
"Redwood National and State Parks","CA","https://www.parks.ca.gov/pages/415/files/PrairieCreekElkCampMap061516.pdf"
"Redwood National and State Parks","CA","https://www.parks.ca.gov/pages/415/files/GoldBluffsBeachCampMapFinal123009.pdf"
"Redwood National and State Parks","CA","https://www.nps.gov/redw/planyourvisit/upload/HorseTrails_SB_2021-508-2.pdf"
"Rocky Mountain National Park","CO","https://www.nps.gov/romo/planyourvisit/javascript:HandleLink('cpe_0_0','CPNEWWIN:_blank^@CP___PAGEID=5343116,/romo/planyourvisit/upload/ROMO_UnigridBrochure_2022.pdf');"
"Rocky Mountain National Park","CO","https://www.nps.gov/romo/planyourvisit/upload/Moraine-Park-Campground-Map_8-5x14.pdf"
"Sequoia National Park","CA","https://www.nps.gov/seki/planyourvisit/upload/2021_Campground_map_Buckeye-508.pdf"
